X,Y,OBJECTID,id,name,lat,long,nbBikes,nbEmptyDocks,latestUpdateTime
-71.100618839502033,42.340115122277567,1329,3,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,,,,,
-71.069616000058502,42.345392000084601,1330,4,Tremont St at E Berkeley St,,,,,
-71.090179000155672,42.341813999823096,1331,5,Northeastern University - North Parking Lot,,,,,
-71.065209656690371,42.361304069814715,1332,6,Cambridge St at Joy St,,,,,
-71.043884754078221,42.352940802153761,1333,7,Fan Pier,,,,,
-71.137313000343866,42.353333999681787,1334,8,Union Square - Brighton Ave at Cambridge St,,,,,
-71.115638999835895,42.351246000107729,1335,9,Commonwealth Ave at Buick St,,,,,
-71.10827900030516,42.350405999920135,1336,10,B.U. Central - 725 Comm. Ave.,,,,,
-71.106500000072685,42.338628999791496,1337,11,Longwood Ave at Binney St,,,,,
-71.088019162751749,42.336282398366976,1338,12,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,,,,,
-71.07308900013463,42.336436999722238,1339,13,Boston Medical Center - E Concord St at Harrison Ave,,,,,
-71.102861165605233,42.337417484329073,1340,14,HMS/HSPH - Avenue Louis Pasteur at Longwood Ave,,,,,
-71.137762069951023,42.361545707887629,1341,15,Brighton Mills - 370 Western Ave,,,,,
-71.076570153320276,42.348074123471832,1342,16,Back Bay T Stop - Dartmouth St at Stuart St,,,,,
-71.11923300028586,42.365063999833708,1343,17,Soldiers Field Park - 111 Western Ave,,,,,
-71.105300999798359,42.347241000304152,1344,19,Park Dr at Buswell St,,,,,
-71.051429808354129,42.359911761142463,1345,20,Aquarium T Stop - 200 Atlantic Ave,,,,,
-71.08257799970221,42.345958999978713,1346,21,Prudential Center - Belvedere St,,,,,
-71.055547000201969,42.352175000305472,1347,22,South Station - 700 Atlantic Ave,,,,,
-71.05762900038313,42.358920000216749,1348,23,Boston City Hall - 28 State St,,,,,
-71.044360845907462,42.35148193431008,1349,24,Seaport Square - Seaport Blvd at Northern Ave,,,,,
-71.076846999717802,42.341331999905215,1350,25,South End Library - Tremont St at W Newton St,,,,,
-71.068922000297533,42.341521999765767,1351,26,Washington St at Waltham St,,,,,
-71.095171000173281,42.331184000239105,1352,27,Roxbury Crossing T Stop - Columbus Ave at Tremont St,,,,,
-71.124565000062091,42.363731999776199,1353,29,Innovation Lab - 125 Western Ave at Batten Way,,,,,
-71.105079353078409,42.334397811689314,1354,30,Brigham Circle - Francis St at Huntington Ave,,,,,
-71.041997820366049,42.348960497403127,1355,31,Seaport Hotel - Congress St at Seaport Ln,,,,,
-71.101697087337556,42.345194289577165,1356,32,Landmark Center - Brookline Ave at Park Dr,,,,,
-71.097008999956984,42.348706000173422,1357,33,Kenmore Square,,,,,
-71.05825602984136,42.35530156089461,1358,35,Arch St at Franklin St,,,,,
-71.077326536586142,42.34976701005909,1359,36,Copley Square - Dartmouth St at Boylston St,,,,,
-71.146735399714601,42.357329218922075,1360,37,New Balance - 20 Guest St,,,,,
-71.074040829856855,42.338514602000259,1361,39,Washington St at Rutland St,,,,,
-71.050877000399637,42.363870999949832,1362,40,Lewis Wharf at Atlantic Ave,,,,,
-71.123831000118173,42.352261000100256,1363,41,Packard's Corner - Commonwealth Ave at Brighton Ave,,,,,
-71.070627000011854,42.352033000108761,1364,42,Boylston St at Arlington St,,,,,
-71.050699000124396,42.357143000151503,1365,43,Rowes Wharf at Atlantic Ave,,,,,
-71.057451999932823,42.360613000254318,1366,44,Congress St at North St,,,,,
-71.097853481901083,42.344680840355721,1367,45,Yawkey Way at Boylston St.,,,,,
-71.085823774520478,42.343665824194552,1368,46,Christian Science Plaza - Massachusetts Ave at Westland Ave,,,,,
-71.056066999885644,42.362811000115244,1369,47,Cross St at Hanover St,,,,,
-71.055406999561555,42.356755000288523,1370,48,Post Office Square - Pearl St at Milk St,,,,,
-71.066288999572222,42.3511460003105,1371,49,Stuart St at Charles St,,,,,
-71.073292493699299,42.351141982496713,1372,50,Boylston St at Berkeley St,,,,,
-71.079037785879891,42.335098992818288,1373,51,Washington St at Lenox St,,,,,
-71.085953999693956,42.348716999795819,1374,52,Newbury St at Hereford St,,,,,
-71.089810877738756,42.350826806378137,1375,53,Beacon St at Massachusetts Ave,,,,,
-71.063347999773669,42.354978999819416,1376,54,Tremont St at West St,,,,,
-71.088087999753668,42.34726499979584,1377,55,Boylston St at Massachusetts Ave,,,,,
-71.084164827837512,42.328540462988286,1378,56,Dudley Square - Dudley St at Warren St,,,,,
-71.081388479349059,42.340542615652126,1379,57,Columbus Ave at Massachusetts Ave,,,,,
-71.072841882583134,42.355549323362595,1380,58,Beacon St at Arlington St,,,,,
-71.059366999709411,42.351355999767314,1381,59,Chinatown Gate Plaza,,,,,
-71.0709281269732,42.360714448625295,1382,60,Charles Circle - Charles St at Cambridge St,,,,,
-71.082382999708528,42.348762000102226,1383,61,Boylston St at Fairfield St,,,,,
-71.057376265666164,42.344040510195718,1384,63,Dorchester Ave at Gillette Park,,,,,
-71.049300134580818,42.351004495701638,1385,64,Congress St at Sleeper St,,,,,
-71.04535996923444,42.347763453913934,1386,65,Boston Convention and Exhibition Center - Summer St at West Side Dr,,,,,
-71.133946627597027,42.348520145566468,1387,66,Allston Green District - Griggs St at Commonwealth Ave,,,,,
-71.093197999772045,42.358100000256549,1388,67,MIT at Mass Ave / Amherst St,,,,,
-71.10309999979151,42.365069999997303,1389,68,Central Square at Mass Ave / Essex St,,,,,
-71.123338000198672,42.341597999947595,1390,69,Coolidge Corner - Beacon St @ Centre St,,,,,
