room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
7245413,1187,37881504,Shared room,,Boston,,Allston,1,0.0,2,1.0,,50.0,,best place to live,2017-05-05 12:28:26.376062,42.352935,-71.127714,0101000020E6100000724F57772CC851C0904E5DF92C2D4540
12540640,1187,6610984,Shared room,,Boston,,Allston,13,5.0,2,1.0,,52.0,,Pull out sofa next to T stop and 10 mins to BU,2017-05-05 12:28:26.353880,42.351896,-71.12958,0101000020E6100000CE8DE9094BC851C0EFCB99ED0A2D4540
14574734,1187,88360952,Shared room,,Boston,,Downtown,8,5.0,2,1.0,,500.0,,Luxury high rise apartment building,2017-05-05 12:28:24.563599,42.350446,-71.064919,0101000020E6100000E67805A227C451C0CB811E6ADB2C4540
8404805,1187,26956083,Shared room,,Boston,,Brighton,0,0.0,1,1.0,,225.0,,The Private Parking Space!,2017-05-05 12:28:23.364062,42.360686,-71.141508,0101000020E6100000D50792770EC951C0021077F52A2E4540
17962385,1187,116718872,Shared room,,Boston,,South End,0,0.0,2,1.0,,225.0,,Semi private studio for two-walk to marathon!,2017-05-05 12:28:23.353967,42.342746,-71.076201,0101000020E61000000ABB287AE0C451C0DB6AD619DF2B4540
14821064,1187,21938320,Shared room,,Boston,,Back Bay,2,0.0,1,1.0,,200.0,,1 BR in the center of Newbury Street,2017-05-05 12:28:22.504245,42.351066,-71.080316,0101000020E61000001D56B8E523C551C0685E0EBBEF2C4540
8828147,1187,3958442,Shared room,,Boston,,South Boston,4,5.0,1,1.0,,159.0,,Crash in a lux high rise for cheap,2017-05-05 12:28:21.888625,42.341526,-71.055594,0101000020E6100000A5F622DA8EC351C0EA5DBC1FB72B4540
5135400,1187,24983735,Shared room,,Boston,,Back Bay,14,4.5,3,1.0,,130.0,,Living Room in heart of Back Bay!,2017-05-05 12:28:21.338708,42.352024,-71.079773,0101000020E6100000A58636001BC551C01CB4571F0F2D4540
5976821,1187,432317,Shared room,,Boston,,South End,96,5.0,3,1.0,,125.0,,Heart of the South End Near It All!,2017-05-05 12:28:21.334441,42.344125,-71.070483,0101000020E610000022FB20CB82C451C0355EBA490C2C4540
8696200,1187,19470226,Shared room,,Boston,,Downtown,12,5.0,2,1.0,,103.0,,Downtown Boston Condo Living Room,2017-05-05 12:28:20.048560,42.366695,-71.066336,0101000020E61000000AA359D93EC451C0A94D9CDCEF2E4540
12871837,1187,60115031,Shared room,,Boston,,Fenway,0,0.0,1,1.0,,100.0,,Fenway Park Luxury Stay,2017-05-05 12:28:19.262331,42.3448,-71.101093,0101000020E6100000B136C64E78C651C095D40968222C4540
12811785,1187,17371232,Shared room,,Boston,,Allston,0,0.0,3,1.0,,80.0,,Charming hipster pad in Allston,2017-05-05 12:28:19.256651,42.34788,-71.138112,0101000020E6100000DACBB6D3D6C851C05C77F354872C4540
13711242,1187,40459423,Shared room,,Boston,,Downtown,4,5.0,2,1.0,,90.0,,"Located in ""the heart of the city",2017-05-05 12:28:19.238674,42.351019,-71.064549,0101000020E610000054FF209221C451C027A3CA30EE2C4540
13972190,1187,1538079,Shared room,,Boston,,Back Bay,0,0.0,1,1.0,,99.0,,Shared Living Room in Back Bay next to Newbury,2017-05-05 12:28:19.236348,42.350147,-71.084433,0101000020E6100000016DAB5967C551C071E5EC9DD12C4540
5990896,1187,31035017,Shared room,,Boston,,Fenway,52,4.0,1,1.0,,95.0,,"Studio, 2 min walk Symphony/T Hynes",2017-05-05 12:28:19.228323,42.342757,-71.090121,0101000020E6100000B3EBDE8AC4C551C0CFBC1C76DF2B4540
2862120,1187,1416883,Shared room,,Boston,,Beacon Hill,58,4.5,1,1.0,,85.0,,Beacon Hill Downtown Sofabed in LR,2017-05-05 12:28:19.225013,42.360204,-71.0684,0101000020E6100000F8C264AA60C451C0B7F1272A1B2E4540
11043756,1187,35423230,Shared room,,Boston,,Allston,1,0.0,1,1.0,,68.0,,Cozy room Allston central close to everything,2017-05-05 12:28:17.380449,42.355342,-71.138265,0101000020E61000009D4B7155D9C851C09772BED87B2D4540
12071820,1187,64682226,Shared room,,Boston,,Jamaica Plain,7,4.5,2,1.0,,75.0,,Super Cozy Apt - An Artist's Home,2017-05-05 12:28:17.377354,42.30688,-71.112318,0101000020E61000002330D63730C751C0F3E505D847274540
3678429,1187,18165984,Shared room,,Boston,,Dorchester,8,5.0,1,1.0,,80.0,,Immaculate Home away from home,2017-05-05 12:28:17.374137,42.284938,-71.076511,0101000020E610000031B2648EE5C451C09EB12FD978244540
15059730,1187,41962442,Shared room,,Boston,,Dorchester,3,4.5,2,1.0,,79.0,,Harbor Apartment- a good way to relax,2017-05-05 12:28:17.370774,42.318863,-71.041821,0101000020E61000004ED2FC31ADC251C0C573B680D0284540
15052939,1187,95139475,Shared room,,Boston,,East Boston,0,0.0,1,1.0,,70.0,,Cosy couch available 5 min away from Airport,2017-05-05 12:28:17.367784,42.382627,-71.0201,0101000020E610000093A9825149C151C086C8E9EBF9304540
3641545,1187,6608084,Shared room,,Boston,,Dorchester,6,5.0,8,1.0,,68.0,,Special Circumstances Extra Room(s),2017-05-05 12:28:17.357771,42.308042,-71.047882,0101000020E61000004B04AA7F10C351C0B0E595EB6D274540
9949819,1187,31021638,Shared room,,Boston,,South End,2,0.0,2,1.0,,77.0,,South End Near Backbay Garden Apt,2017-05-05 12:28:17.352690,42.346509,-71.073372,0101000020E61000004C1C7920B2C451C084622B685A2C4540
196806,1187,958639,Shared room,,Boston,,Fenway,51,5.0,1,1.0,,79.0,,"Comfy couch, Centrally located",2017-05-05 12:28:17.346318,42.344524,-71.086837,0101000020E61000004CC5C6BC8EC551C0F357C85C192C4540
6930501,1187,30128383,Shared room,,Boston,,Roxbury,12,5.0,2,1.0,,71.0,,Loft with Balcony in South End,2017-05-05 12:28:17.340167,42.33655,-71.086097,0101000020E610000028D2FD9C82C551C002BC0512142B4540
12446656,1187,12790789,Shared room,,Boston,,Fenway,13,4.5,2,1.0,,70.0,,Comfy sofa bed right in the Fenway,2017-05-05 12:28:17.329518,42.344627,-71.094908,0101000020E61000003E0801F912C651C0C828CFBC1C2C4540
16657458,1187,9040678,Shared room,,Boston,,Back Bay,11,5.0,3,1.0,,75.0,,Right on Newbury St! Gorgeous trendy room+kitchen,2017-05-05 12:28:17.326219,42.351497,-71.078301,0101000020E61000009F8F32E202C551C031D28BDAFD2C4540
