"room_id","host_id","room_type","neighborhood","reviews","overall_satisfaction","accommodates","bedrooms","price","latitude","longitude","last_modified"
13955674,83107234,"Shared room","Dorchester",7,5,1,1,40,42.31221,-71.077375,2017-07-10 18:45:39
18238531,25149641,"Shared room","Allston",0,0,1,1,35,42.350339,-71.133791,2017-07-10 18:45:39
8703026,45686983,"Shared room","Roxbury",80,4.5,1,1,35,42.3246,-71.097999,2017-07-10 18:45:39
15437339,2327276,"Shared room","Brighton",19,4.5,1,1,35,42.346081,-71.144396,2017-07-10 18:45:39
18751904,104605537,"Shared room","Fenway",16,4.5,2,1,39,42.34744,-71.103008,2017-07-10 18:45:39
19181840,27737039,"Shared room","Roxbury",0,0,4,1,30,42.32608,-71.089128,2017-07-10 18:45:39
18676048,129816933,"Shared room","Mission Hill",5,4,1,1,30,42.33223,-71.107074,2017-07-10 18:45:39
5652147,352441,"Entire home/apt","Jamaica Plain",3,4.5,7,3,500,42.307049,-71.116624,2017-07-10 18:40:37
15041595,63218173,"Entire home/apt","Allston",13,4.5,15,7,550,42.357952,-71.135277,2017-07-10 18:34:16
11735784,9419684,"Entire home/apt","South Boston Waterfront",8,4.5,6,3,569,42.352645,-71.045701,2017-07-10 18:34:08
721979,25188,"Entire home/apt","Chinatown",7,5,4,2,349,42.350723,-71.062937,2017-07-10 18:33:34
8919439,21185257,"Entire home/apt","Leather District",3,5,4,2,409,42.351443,-71.058003,2017-07-10 18:33:34
10634364,16044270,"Entire home/apt","South End",6,5,4,1,190,42.34595,-71.07249,2017-07-10 18:30:58
19160261,30283594,"Entire home/apt","Mission Hill",0,0,5,2,171,42.32965,-71.109978,2017-07-10 18:29:45
18736918,78502728,"Entire home/apt","Brighton",0,0,4,1,99,42.340902,-71.14669,2017-07-10 18:28:05
182613,875739,"Entire home/apt","Charlestown",66,4.5,8,2,75,42.377387,-71.060435,2017-07-10 18:27:58
15718623,95459395,"Entire home/apt","Fenway",1,0,5,2,537,42.345251,-71.097636,2017-07-10 18:27:45
10052622,30283594,"Entire home/apt","South Boston Waterfront",1,0,7,3,617,42.351435,-71.046355,2017-07-10 18:27:42
17873069,12542455,"Entire home/apt","Back Bay",3,5,6,2,550,42.355517,-71.073541,2017-07-10 18:27:40
10059572,7594805,"Entire home/apt","Jamaica Plain",0,0,4,1,160,42.296844,-71.115731,2017-07-10 18:17:29
1724900,7723912,"Entire home/apt","Roslindale",32,4.5,4,2,111,42.282905,-71.132677,2017-07-10 18:14:39
7281884,25742899,"Entire home/apt","Roxbury",109,4.5,3,0,89,42.31289,-71.083155,2017-07-10 18:14:28
11569156,60500914,"Entire home/apt","Brighton",0,0,3,1,74,42.339983,-71.155049,2017-07-10 18:14:19
6006328,19066350,"Entire home/apt","Mattapan",25,4.5,5,2,65,42.281892,-71.093627,2017-07-10 18:14:17
50032,228845,"Entire home/apt","Jamaica Plain",16,5,12,4,725,42.315911,-71.112757,2017-07-10 18:14:09
1810397,9485021,"Entire home/apt","South End",31,5,8,3,869,42.343639,-71.070235,2017-07-10 18:14:09
5989418,5809176,"Entire home/apt","Back Bay",0,0,6,2,975,42.351257,-71.084352,2017-07-10 18:14:09
11521541,14133713,"Entire home/apt","Charlestown",7,4.5,6,4,780,42.381952,-71.06867,2017-07-10 18:14:09
15232621,95459395,"Entire home/apt","Fenway",0,0,5,2,537,42.34493,-71.09974,2017-07-10 18:14:05
15283836,95459395,"Entire home/apt","Chinatown",0,0,5,2,594,42.350624,-71.060751,2017-07-10 18:13:55
15268842,95459395,"Entire home/apt","Chinatown",2,0,5,2,548,42.351563,-71.062661,2017-07-10 18:13:55
15189894,95459395,"Entire home/apt","South Boston Waterfront",0,0,5,2,617,42.352383,-71.047151,2017-07-10 18:13:55
7618925,11228809,"Entire home/apt","Roxbury",3,5,8,4,600,42.32964,-71.092741,2017-07-10 18:13:52
7009774,36747522,"Entire home/apt","Charlestown",0,0,6,3,599,42.383824,-71.067669,2017-07-10 18:13:52
2656568,13597630,"Entire home/apt","Back Bay",0,0,2,1,600,42.348072,-71.076639,2017-07-10 18:13:52
15284277,95459395,"Entire home/apt","Chinatown",2,0,5,2,594,42.34862,-71.060984,2017-07-10 18:13:50
7633883,814298,"Entire home/apt","Beacon Hill",14,5,6,3,559,42.357378,-71.071351,2017-07-10 18:13:50
16177663,105620455,"Entire home/apt","North End",2,0,6,3,505,42.363885,-71.050749,2017-07-10 18:13:50
197146,25188,"Entire home/apt","Back Bay",22,4.5,4,2,356,42.347946,-71.084882,2017-07-10 18:12:30
951473,25188,"Entire home/apt","Fenway",0,0,3,1,379,42.343034,-71.100608,2017-07-10 18:10:54
8925974,20079643,"Entire home/apt","Fenway",0,0,4,2,375,42.343125,-71.101437,2017-07-10 18:10:52
