room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
16657458,9040678,Shared room,,Back Bay,7,5.0,3,1.0,75.0,,42.351497,-71.078301,2017-04-08 17:22:50.753597
8404805,26956083,Shared room,,Brighton,0,0.0,1,1.0,225.0,,42.360686,-71.141508,2017-04-08 17:22:45.765538
17962385,116718872,Shared room,,South End,0,0.0,2,1.0,225.0,,42.342746,-71.076201,2017-04-08 17:22:45.758907
14821064,21938320,Shared room,,Back Bay,2,0.0,1,1.0,200.0,,42.351066,-71.080316,2017-04-08 17:22:44.535608
17302288,85996580,Shared room,,Dorchester,0,0.0,1,1.0,175.0,,42.317474,-71.039244,2017-04-08 17:22:43.052903
17628696,75270650,Shared room,,South Boston Waterfront,0,0.0,5,1.0,135.0,,42.349399,-71.045153,2017-04-08 17:22:41.849252
8696200,19470226,Shared room,,Downtown,12,5.0,2,1.0,103.0,,42.366695,-71.066336,2017-04-08 17:22:40.597651
12811785,17371232,Shared room,,Allston,0,0.0,3,1.0,80.0,,42.34788,-71.138112,2017-04-08 17:22:39.306605
15438743,31620925,Shared room,,Mission Hill,2,0.0,1,1.0,99.0,,42.333947,-71.103113,2017-04-08 17:22:39.304174
11948017,1426567,Shared room,,Roxbury,0,0.0,2,1.0,99.0,,42.297116,-71.092483,2017-04-08 17:22:39.290773
8662258,26268405,Shared room,,Beacon Hill,91,5.0,2,1.0,89.0,,42.358505,-71.064052,2017-04-08 17:22:39.286589
3792147,6989109,Shared room,,South Boston,60,4.5,1,1.0,85.0,,42.331261,-71.046148,2017-04-08 17:22:39.284295
5976821,432317,Shared room,,South End,89,5.0,3,1.0,100.0,,42.344125,-71.070483,2017-04-08 17:22:39.281513
15064899,95259405,Shared room,,South End,45,4.5,1,1.0,89.0,,42.342583,-71.075406,2017-04-08 17:22:39.277366
12071820,64682226,Shared room,,Jamaica Plain,7,4.5,2,1.0,75.0,,42.30688,-71.112318,2017-04-08 17:22:37.902280
11043756,35423230,Shared room,,Allston,1,0.0,1,1.0,68.0,,42.355342,-71.138265,2017-04-08 17:22:37.899221
15052939,95139475,Shared room,,East Boston,0,0.0,1,1.0,70.0,,42.382627,-71.0201,2017-04-08 17:22:37.897005
3678429,18165984,Shared room,,Dorchester,8,5.0,1,1.0,80.0,,42.284938,-71.076511,2017-04-08 17:22:36.912042
9949819,31021638,Shared room,,South End,2,0.0,2,1.0,77.0,,42.346509,-71.073372,2017-04-08 17:22:36.905295
196806,958639,Shared room,,Fenway,49,5.0,1,1.0,79.0,,42.344524,-71.086837,2017-04-08 17:22:36.902180
