room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
13711242,40459423,Shared room,,Downtown,4,5.0,2,1.0,140.0,,42.351019,-71.064549,2017-03-12 23:06:28.036196
14235257,83636316,Shared room,,Longwood Medical Area,0,0.0,2,1.0,100.0,,42.34262,-71.103627,2017-03-12 23:06:26.383181
8404805,26956083,Shared room,,Brighton,0,0.0,1,1.0,225.0,,42.360686,-71.141508,2017-03-12 23:06:19.685430
14821064,21938320,Shared room,,Back Bay,2,0.0,1,1.0,200.0,,42.351066,-71.080316,2017-03-12 23:06:18.386412
14574734,88360952,Shared room,,Downtown,8,5.0,2,1.0,175.0,,42.350446,-71.064919,2017-03-12 23:06:17.174801
8696200,19470226,Shared room,,Downtown,12,5.0,2,1.0,103.0,,42.366695,-71.066336,2017-03-12 23:06:15.165273
12871837,60115031,Shared room,,Fenway,0,0.0,1,1.0,100.0,,42.3448,-71.101093,2017-03-12 23:06:14.312610
15438743,31620925,Shared room,,Mission Hill,2,0.0,1,1.0,99.0,,42.333947,-71.103113,2017-03-12 23:06:14.306541
3792147,6989109,Shared room,,South Boston,58,4.5,1,1.0,87.0,,42.331261,-71.046148,2017-03-12 23:06:14.291122
11948017,1426567,Shared room,,Roxbury,0,0.0,2,1.0,99.0,,42.297116,-71.092483,2017-03-12 23:06:14.282889
8441187,15872841,Shared room,,Downtown,68,4.5,4,1.0,82.0,,42.355519,-71.061528,2017-03-12 23:06:14.277302
5976821,432317,Shared room,,South End,85,5.0,3,1.0,100.0,,42.344125,-71.070483,2017-03-12 23:06:14.273908
11043756,35423230,Shared room,,Allston,1,0.0,1,1.0,68.0,,42.355342,-71.138265,2017-03-12 23:06:12.896057
12071820,64682226,Shared room,,Jamaica Plain,7,4.5,2,1.0,75.0,,42.30688,-71.112318,2017-03-12 23:06:12.891267
3678429,18165984,Shared room,,Dorchester,8,5.0,1,1.0,80.0,,42.284938,-71.076511,2017-03-12 23:06:12.114509
5990896,31035017,Shared room,,Fenway,46,4.5,1,1.0,80.0,,42.342757,-71.090121,2017-03-12 23:06:12.107277
15052939,95139475,Shared room,,East Boston,0,0.0,1,1.0,70.0,,42.382627,-71.0201,2017-03-12 23:06:12.104800
15059730,41962442,Shared room,,Dorchester,3,4.5,2,1.0,79.0,,42.318863,-71.041821,2017-03-12 23:06:12.100111
9949819,31021638,Shared room,,South End,2,0.0,2,1.0,77.0,,42.346509,-71.073372,2017-03-12 23:06:12.097190
6930501,30128383,Shared room,,Roxbury,12,5.0,2,1.0,71.0,,42.33655,-71.086097,2017-03-12 23:06:12.092041
17643387,120028432,Shared room,,Beacon Hill,0,0.0,2,1.0,60.0,,42.35957,-71.066871,2017-03-12 23:06:12.089690
16657458,9040678,Shared room,,Back Bay,7,5.0,3,1.0,75.0,,42.351497,-71.078301,2017-03-12 23:06:12.087322
15009005,86203385,Shared room,,Back Bay,56,4.5,2,1.0,62.0,,42.351241,-71.073829,2017-03-12 23:06:12.082975
196806,958639,Shared room,,Fenway,48,5.0,1,1.0,79.0,,42.344524,-71.086837,2017-03-12 23:06:12.080060
12446656,12790789,Shared room,,Fenway,12,4.5,2,1.0,70.0,,42.344627,-71.094908,2017-03-12 23:06:12.072223
6489209,26098645,Shared room,,South Boston,19,5.0,2,1.0,75.0,,42.329976,-71.059102,2017-03-12 23:06:12.068033
12540640,6610984,Shared room,,Allston,11,5.0,2,1.0,58.0,,42.351896,-71.12958,2017-03-12 23:06:10.736530
12336008,66334541,Shared room,,Dorchester,0,0.0,3,1.0,47.0,,42.31809,-71.063934,2017-03-12 23:06:10.733034
15634337,32097009,Shared room,,Jamaica Plain,2,0.0,1,1.0,50.0,,42.298636,-71.111825,2017-03-12 23:06:10.721570
7245413,37881504,Shared room,,Allston,1,0.0,2,1.0,50.0,,42.352935,-71.127714,2017-03-12 23:06:10.712406
15932274,25688421,Shared room,,Fenway,0,0.0,1,1.0,60.0,,42.345178,-71.101024,2017-03-12 23:06:09.711659
5447285,28254412,Shared room,,Brighton,2,0.0,2,1.0,44.0,,42.34028,-71.143274,2017-03-12 23:06:09.701821
8337048,16330682,Shared room,,Mission Hill,21,4.5,3,1.0,45.0,,42.330703,-71.099999,2017-03-12 23:06:09.698880
14933380,28193547,Shared room,,Jamaica Plain,7,4.5,1,1.0,49.0,,42.324891,-71.11344,2017-03-12 23:06:09.693612
4598026,5383468,Shared room,,Allston,26,5.0,1,1.0,47.0,,42.350468,-71.13581,2017-03-12 23:06:09.690533
16367387,14395956,Shared room,,West Roxbury,0,0.0,2,1.0,55.0,,42.301978,-71.166541,2017-03-12 23:06:09.686003
15726469,95459395,Entire home/apt,,West End,0,0.0,3,1.0,571.0,,42.364841,-71.06761,2017-03-12 22:46:53.394870
15187909,95459395,Entire home/apt,,Chinatown,0,0.0,3,1.0,571.0,,42.350695,-71.062839,2017-03-12 22:46:53.390764
15283510,95459395,Entire home/apt,,Chinatown,0,0.0,3,1.0,571.0,,42.350769,-71.060925,2017-03-12 22:46:53.387202
15282690,95459395,Entire home/apt,,Chinatown,0,0.0,3,1.0,571.0,,42.349217,-71.059536,2017-03-12 22:46:50.805206
12270833,66095644,Entire home/apt,,Allston,0,0.0,5,2.0,524.0,,42.362546,-71.133947,2017-03-12 22:46:50.181079
15841981,12243051,Entire home/apt,,Downtown,0,0.0,4,1.0,699.0,,42.350024,-71.065301,2017-03-12 22:46:46.644636
8925974,20079643,Entire home/apt,,Fenway,0,0.0,4,2.0,375.0,,42.343125,-71.101437,2017-03-12 22:46:29.494643
3359170,25188,Entire home/apt,,Chinatown,1,0.0,4,2.0,399.0,,42.35194,-71.060077,2017-03-12 22:46:01.969739
951476,25188,Entire home/apt,,Fenway,3,3.5,2,1.0,359.0,,42.34466,-71.100439,2017-03-12 22:46:01.964223
13545797,73223944,Entire home/apt,,Downtown,1,0.0,4,2.0,400.0,,42.351067,-71.063122,2017-03-12 22:45:59.705984
1214214,2021429,Entire home/apt,,South End,1,0.0,3,2.0,450.0,,42.342936,-71.073453,2017-03-12 22:45:59.685436
1929406,9991368,Entire home/apt,,Jamaica Plain,2,0.0,6,4.0,335.0,,42.312742,-71.112014,2017-03-12 22:45:57.005322
10228764,30283594,Entire home/apt,,Fenway,0,0.0,3,1.0,349.0,,42.343772,-71.100783,2017-03-12 22:45:56.993197
228883,25188,Entire home/apt,,Fenway,4,4.5,5,2.0,349.0,,42.343624,-71.097928,2017-03-12 22:45:33.951852
979759,25188,Entire home/apt,,West End,2,0.0,4,2.0,310.0,,42.366235,-71.067846,2017-03-12 22:44:56.642057
8097903,25188,Entire home/apt,,Downtown,1,0.0,4,2.0,329.0,,42.366268,-71.058977,2017-03-12 22:44:53.387235
1421610,7652728,Entire home/apt,,Charlestown,6,5.0,4,2.0,320.0,,42.376181,-71.059878,2017-03-12 22:44:50.635131
15561714,25188,Entire home/apt,,South Boston Waterfront,0,0.0,6,3.0,449.0,,42.351542,-71.047202,2017-03-12 22:44:05.436747
951485,25188,Entire home/apt,,Fenway,0,0.0,3,1.0,269.0,,42.34349,-71.102384,2017-03-12 22:43:04.770143
218259,25188,Entire home/apt,,Downtown,5,4.5,2,1.0,269.0,,42.352103,-71.063184,2017-03-12 22:36:19.228423
5932267,183065,Entire home/apt,,South End,1,0.0,2,1.0,250.0,,42.33666,-71.075024,2017-03-12 22:36:15.286184
1119740,25188,Entire home/apt,,South End,0,0.0,2,0.0,186.0,,42.343454,-71.079661,2017-03-12 22:30:33.905682
13282548,74906378,Entire home/apt,,Fenway,4,5.0,3,1.0,195.0,,42.345989,-71.094918,2017-03-12 22:28:16.273447
5125723,2914305,Entire home/apt,,Fenway,35,5.0,2,1.0,170.0,,42.344839,-71.089355,2017-03-12 22:23:21.372330
8132683,42946164,Entire home/apt,,South Boston,14,5.0,3,2.0,180.0,,42.336702,-71.051246,2017-03-12 22:23:05.849529
16477672,14694405,Entire home/apt,,East Boston,0,0.0,4,2.0,150.0,,42.370146,-71.03692,2017-03-12 22:22:52.167935
9496325,19857480,Entire home/apt,,Fenway,5,4.5,3,1.0,122.0,,42.345253,-71.104168,2017-03-12 22:20:42.962772
713627,3581975,Entire home/apt,,Jamaica Plain,1,0.0,2,1.0,135.0,,42.309574,-71.106292,2017-03-12 22:20:40.807307
