room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
14235257,83636316,Shared room,,Longwood Medical Area,0,0.0,2,1.0,100.0,,42.34262,-71.103627,2017-02-16 11:36:09.367161
10567830,1651480,Shared room,,South End,0,0.0,1,1.0,500.0,,42.341763,-71.075397,2017-02-16 11:36:01.748355
8404805,26956083,Shared room,,Brighton,0,0.0,1,1.0,225.0,,42.360686,-71.141508,2017-02-16 11:36:00.726321
14821064,21938320,Shared room,,Back Bay,2,0.0,1,1.0,200.0,,42.351066,-71.080316,2017-02-16 11:35:59.457168
8696200,19470226,Shared room,,Downtown,12,5.0,2,1.0,103.0,,42.366695,-71.066336,2017-02-16 11:35:56.695176
12811785,17371232,Shared room,,Allston,0,0.0,3,1.0,80.0,,42.34788,-71.138112,2017-02-16 11:35:55.837030
15438743,31620925,Shared room,,Mission Hill,2,0.0,1,1.0,99.0,,42.333947,-71.103113,2017-02-16 11:35:55.829669
8662258,26268405,Shared room,,Beacon Hill,89,5.0,2,1.0,89.0,,42.358505,-71.064052,2017-02-16 11:35:55.818375
3792147,6989109,Shared room,,South Boston,58,4.5,1,1.0,98.0,,42.331261,-71.046148,2017-02-16 11:35:55.816138
11948017,1426567,Shared room,,Roxbury,0,0.0,2,1.0,99.0,,42.297116,-71.092483,2017-02-16 11:35:55.809923
5976821,432317,Shared room,,South End,83,5.0,2,1.0,100.0,,42.344125,-71.070483,2017-02-16 11:35:55.798768
11043756,35423230,Shared room,,Allston,1,0.0,1,1.0,68.0,,42.355342,-71.138265,2017-02-16 11:35:54.844578
9878803,50291013,Shared room,,Fenway,17,4.5,1,1.0,60.0,,42.346267,-71.106227,2017-02-16 11:35:54.838807
12071820,64682226,Shared room,,Jamaica Plain,7,4.5,2,1.0,75.0,,42.30688,-71.112318,2017-02-16 11:35:54.833988
13711242,40459423,Shared room,,Downtown,4,5.0,2,1.0,60.0,,42.351019,-71.064549,2017-02-16 11:35:54.830969
